down,yardline,yards_to_go,count,fantasy_points,avg_fantasy_points
1,crap,long,33,16.799999999999997,0.509090909090909
1,crap,really_long,4,0.16000000000000003,0.04000000000000001
1,fg,long,42,19.119999999999997,0.45523809523809516
1,fg,really_long,3,0.8,0.26666666666666666
1,goaline,long,6,0.44,0.07333333333333333
1,goaline,medium,6,8.36,1.3933333333333333
1,goaline,short,12,20.48,1.7066666666666668
1,midfield,long,218,58.0,0.26605504587155965
1,midfield,medium,2,0.36,0.18
1,midfield,really_long,12,5.000000000000001,0.41666666666666674
1,redzone,long,34,39.88,1.1729411764705884
1,redzone,really_long,2,0.44,0.22
1,touchback,long,121,35.28,0.2915702479338843
1,touchback,really_long,5,3.4400000000000004,0.6880000000000001
2,crap,long,20,5.28,0.264
2,crap,medium,3,0.0,0.0
2,crap,really_long,18,2.44,0.13555555555555554
2,crap,short,2,0.84,0.42
2,fg,long,20,4.7200000000000015,0.23600000000000007
2,fg,medium,10,-0.5600000000000002,-0.056000000000000015
2,fg,really_long,5,0.9199999999999999,0.184
2,fg,short,4,2.92,0.73
2,goaline,long,8,8.56,1.07
2,goaline,medium,11,16.8,1.5272727272727273
2,goaline,short,6,8.280000000000001,1.3800000000000001
2,midfield,long,87,15.32,0.17609195402298852
2,midfield,medium,57,25.32,0.4442105263157895
2,midfield,really_long,43,16.559999999999995,0.3851162790697673
2,midfield,short,21,3.72,0.17714285714285716
2,redzone,long,18,11.200000000000001,0.6222222222222222
2,redzone,medium,9,5.28,0.5866666666666667
2,redzone,really_long,7,1.04,0.14857142857142858
2,touchback,long,50,10.760000000000005,0.2152000000000001
2,touchback,medium,11,1.84,0.16727272727272727
2,touchback,really_long,12,3.2800000000000002,0.2733333333333334
2,touchback,short,1,0.32,0.32
3,crap,long,9,0.48,0.05333333333333333
3,crap,medium,7,1.04,0.14857142857142858
3,crap,really_long,11,2.24,0.20363636363636364
3,crap,short,6,1.12,0.18666666666666668
3,fg,long,12,12.6,1.05
3,fg,medium,11,0.8400000000000001,0.07636363636363637
3,fg,really_long,7,-1.52,-0.21714285714285714
3,fg,short,9,6.12,0.68
3,goaline,long,8,4.880000000000001,0.6100000000000001
3,goaline,medium,10,8.88,0.8880000000000001
3,goaline,short,7,6.600000000000001,0.9428571428571431
3,midfield,long,47,10.080000000000002,0.21446808510638302
3,midfield,medium,58,14.159999999999998,0.24413793103448272
3,midfield,really_long,33,8.279999999999998,0.25090909090909086
3,midfield,short,47,17.920000000000005,0.381276595744681
3,redzone,long,12,6.4799999999999995,0.5399999999999999
3,redzone,medium,11,1.08,0.09818181818181819
3,redzone,really_long,3,1.1600000000000001,0.3866666666666667
3,redzone,short,3,0.28,0.09333333333333334
3,touchback,long,32,5.4,0.16875
3,touchback,medium,18,3.12,0.17333333333333334
3,touchback,really_long,13,5.720000000000001,0.44000000000000006
3,touchback,short,2,0.44,0.22
4,crap,short,1,0.0,0.0
4,fg,long,1,0.0,0.0
4,fg,medium,1,0.52,0.52
4,fg,short,1,5.16,5.16
4,goaline,short,1,4.04,4.04
4,midfield,long,2,0.0,0.0
4,midfield,medium,6,2.48,0.41333333333333333
4,midfield,short,10,1.72,0.172
4,redzone,short,1,-0.04,-0.04
4,touchback,long,1,0.0,0.0
