,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,33,0.195819954411,0.152727272727
1,crap,really_long,4,0.37947331922,0.28
1,fg,long,31,0.924385992086,0.338064516129
1,fg,really_long,1,,0.0
1,goaline,long,9,1.44332948421,0.52
1,goaline,medium,5,2.30060861513,1.68
1,goaline,short,5,1.87223930094,0.776
1,midfield,long,196,0.717265462426,0.271428571429
1,midfield,medium,2,0.197989898732,0.14
1,midfield,really_long,6,0.366969571854,0.393333333333
1,redzone,long,29,1.16907440968,0.43724137931
1,redzone,medium,2,0.254558441227,0.18
1,redzone,really_long,1,,0.16
1,touchback,long,87,0.93615261369,0.302068965517
1,touchback,really_long,3,0.207846096908,0.12
2,crap,long,15,0.407211188919,0.237333333333
2,crap,medium,5,1.13609858727,-0.128
2,crap,really_long,18,0.27619260117,0.313333333333
2,crap,short,2,0.197989898732,0.14
2,fg,long,16,0.211139764137,0.1425
2,fg,medium,5,0.933638045497,-0.336
2,fg,really_long,2,0.0282842712475,0.58
2,fg,short,3,0.0,0.0
2,goaline,long,6,2.23280988891,1.5
2,goaline,medium,9,2.56966923942,2.12
2,goaline,short,12,1.89459198454,1.04666666667
2,midfield,long,106,0.397859682607,0.211698113208
2,midfield,medium,29,1.25098739327,0.401379310345
2,midfield,really_long,33,0.490614951161,0.129696969697
2,midfield,short,17,0.234896723239,0.155294117647
2,redzone,long,18,1.05259343584,0.373333333333
2,redzone,medium,6,1.90836753972,0.873333333333
2,redzone,really_long,3,2.58652920597,1.49333333333
2,redzone,short,2,0.11313708499,0.08
2,touchback,long,30,0.471825021141,0.321333333333
2,touchback,medium,12,0.173938338081,0.2
2,touchback,really_long,12,0.292367556132,0.273333333333
2,touchback,short,4,0.324961536185,0.12
3,crap,long,6,0.373880551335,0.313333333333
3,crap,medium,5,0.21466252584,0.096
3,crap,really_long,14,0.509021901988,0.334285714286
3,crap,short,5,0.815548894917,0.448
3,fg,long,11,0.241871491048,0.192727272727
3,fg,medium,8,0.333123743632,0.27
3,fg,short,7,0.239682329444,0.308571428571
3,goaline,long,6,2.08057684309,0.42
3,goaline,medium,4,0.0,0.0
3,goaline,short,15,2.12259679234,1.928
3,midfield,long,63,0.903428300028,0.304126984127
3,midfield,medium,52,0.353450562527,0.285384615385
3,midfield,really_long,34,1.4302881053,0.508235294118
3,midfield,short,33,1.2692314544,0.561212121212
3,redzone,long,10,1.92102287568,0.988
3,redzone,medium,6,2.30334249878,1.65333333333
3,redzone,really_long,6,1.81807223912,0.813333333333
3,redzone,short,7,1.71696298876,0.805714285714
3,touchback,long,23,0.711055553385,0.04
3,touchback,medium,14,0.402639642011,0.225714285714
3,touchback,really_long,8,0.240950498769,0.2
3,touchback,short,7,0.117108008754,0.0685714285714
4,fg,long,1,,1.04
4,fg,medium,1,,0.32
4,fg,short,1,,0.0
4,goaline,short,1,,4.08
4,midfield,long,3,0.207846096908,0.12
4,midfield,medium,2,0.169705627485,0.12
4,midfield,really_long,1,,0.0
4,midfield,short,10,0.753492608531,-0.032
4,redzone,short,3,0.300222139979,0.306666666667
4,touchback,long,1,,0.32
