down,yardline,yards_to_go,count,fantasy_points,avg_fantasy_points
1,crap,long,57,6.080000000000002,0.1066666666666667
1,crap,really_long,3,1.36,0.45333333333333337
1,fg,long,31,11.479999999999999,0.37032258064516127
1,fg,really_long,3,0.52,0.17333333333333334
1,goaline,long,11,8.92,0.8109090909090909
1,goaline,medium,4,2.08,0.52
1,goaline,short,9,8.24,0.9155555555555556
1,midfield,long,177,48.51999999999998,0.2741242937853106
1,midfield,medium,3,-2.0,-0.6666666666666666
1,midfield,really_long,12,3.04,0.25333333333333335
1,redzone,long,20,6.000000000000001,0.30000000000000004
1,redzone,medium,1,0.64,0.64
1,redzone,really_long,3,4.76,1.5866666666666667
1,touchback,long,82,24.479999999999997,0.29853658536585365
1,touchback,really_long,6,0.24,0.04
2,crap,long,19,-0.08000000000000003,-0.004210526315789475
2,crap,medium,14,2.88,0.2057142857142857
2,crap,really_long,13,2.16,0.16615384615384615
2,crap,short,1,0.2,0.2
2,fg,long,20,1.28,0.064
2,fg,medium,3,0.56,0.18666666666666668
2,fg,really_long,4,6.0,1.5
2,fg,short,3,0.0,0.0
2,goaline,long,9,4.680000000000001,0.52
2,goaline,medium,10,4.32,0.43200000000000005
2,goaline,short,12,12.520000000000001,1.0433333333333334
2,midfield,long,89,41.83999999999998,0.4701123595505616
2,midfield,medium,37,14.079999999999998,0.3805405405405405
2,midfield,really_long,43,6.48,0.15069767441860465
2,midfield,short,12,-1.8,-0.15
2,redzone,long,13,3.8400000000000007,0.29538461538461547
2,redzone,medium,9,3.1200000000000006,0.34666666666666673
2,redzone,really_long,12,7.079999999999999,0.59
2,redzone,short,3,0.27999999999999997,0.09333333333333332
2,touchback,long,49,16.12,0.3289795918367347
2,touchback,medium,20,0.8000000000000002,0.04000000000000001
2,touchback,really_long,15,2.6,0.17333333333333334
2,touchback,short,8,3.04,0.38
3,crap,long,16,4.280000000000001,0.26750000000000007
3,crap,medium,9,-0.5199999999999996,-0.057777777777777733
3,crap,really_long,8,1.6800000000000002,0.21000000000000002
3,crap,short,2,0.44,0.22
3,fg,long,14,2.5599999999999996,0.18285714285714283
3,fg,medium,4,0.32,0.08
3,fg,really_long,2,0.88,0.44
3,fg,short,8,1.68,0.21
3,goaline,long,3,13.04,4.346666666666667
3,goaline,medium,13,17.520000000000003,1.347692307692308
3,goaline,short,10,0.3200000000000003,0.03200000000000003
3,midfield,long,38,9.08,0.23894736842105263
3,midfield,medium,48,5.920000000000001,0.12333333333333335
3,midfield,really_long,38,4.039999999999999,0.10631578947368418
3,midfield,short,43,6.600000000000001,0.1534883720930233
3,redzone,long,6,4.880000000000001,0.8133333333333335
3,redzone,medium,11,6.68,0.6072727272727273
3,redzone,really_long,8,1.36,0.17
3,redzone,short,8,-1.08,-0.135
3,touchback,long,29,7.720000000000001,0.26620689655172414
3,touchback,medium,18,6.039999999999999,0.3355555555555555
3,touchback,really_long,7,2.08,0.29714285714285715
3,touchback,short,11,2.7199999999999998,0.24727272727272726
4,crap,long,1,0.0,0.0
4,goaline,medium,1,0.0,0.0
4,goaline,short,1,0.0,0.0
4,midfield,medium,1,0.52,0.52
4,midfield,short,12,0.4,0.03333333333333333
4,redzone,medium,1,0.0,0.0
4,redzone,short,1,0.0,0.0
4,touchback,long,1,-2.0,-2.0
4,touchback,short,1,0.0,0.0
