down,yardline,yards_to_go,count,fantasy_points,avg_fantasy_points
1,crap,long,653,149.63999999999996,0.2291577335375191
1,crap,medium,2,0.28,0.14
1,crap,really_long,84,16.080000000000002,0.19142857142857145
1,fg,long,606,232.52000000000004,0.38369636963696374
1,fg,medium,2,0.52,0.26
1,fg,really_long,39,2.7600000000000002,0.07076923076923078
1,goaline,long,144,139.92000000000002,0.9716666666666668
1,goaline,medium,112,142.48000000000002,1.2721428571428572
1,goaline,short,117,159.07999999999998,1.3596581196581194
1,midfield,long,3593,1063.3199999999997,0.2959421096576676
1,midfield,medium,33,6.640000000000001,0.20121212121212123
1,midfield,really_long,176,48.720000000000006,0.27681818181818185
1,redzone,long,489,293.56,0.6003271983640082
1,redzone,medium,7,0.96,0.13714285714285715
1,redzone,really_long,25,13.319999999999999,0.5327999999999999
1,touchback,long,1683,451.20000000000005,0.2680926916221034
1,touchback,medium,3,0.68,0.22666666666666668
1,touchback,really_long,61,17.64,0.28918032786885245
2,crap,long,308,79.84,0.25922077922077924
2,crap,medium,88,16.440000000000005,0.18681818181818188
2,crap,really_long,225,48.4,0.21511111111111111
2,crap,short,29,8.72,0.3006896551724138
2,fg,long,298,116.68,0.39154362416107386
2,fg,medium,107,44.2,0.4130841121495327
2,fg,really_long,117,57.52,0.49162393162393164
2,fg,short,52,15.12,0.2907692307692308
2,goaline,long,118,124.92,1.0586440677966102
2,goaline,medium,157,204.48000000000002,1.3024203821656053
2,goaline,short,142,186.2,1.3112676056338028
2,midfield,long,1699,513.52,0.302248381400824
2,midfield,medium,666,181.92000000000002,0.2731531531531532
2,midfield,really_long,676,162.35999999999999,0.2401775147928994
2,midfield,short,354,84.28000000000002,0.23807909604519778
2,redzone,long,283,174.55999999999995,0.6168197879858656
2,redzone,medium,113,92.92,0.8223008849557523
2,redzone,really_long,117,47.279999999999994,0.40410256410256407
2,redzone,short,27,10.16,0.3762962962962963
2,touchback,long,702,181.07999999999998,0.25794871794871793
2,touchback,medium,196,53.12000000000001,0.2710204081632654
2,touchback,really_long,221,57.40000000000001,0.2597285067873304
2,touchback,short,76,17.92,0.23578947368421055
3,crap,long,167,38.480000000000004,0.23041916167664672
3,crap,medium,91,33.0,0.3626373626373626
3,crap,really_long,185,46.160000000000004,0.24951351351351353
3,crap,short,54,10.64,0.19703703703703704
3,fg,long,169,65.72,0.3888757396449704
3,fg,medium,135,43.040000000000006,0.3188148148148149
3,fg,really_long,106,25.76,0.24301886792452831
3,fg,short,99,35.839999999999996,0.36202020202020196
3,goaline,long,89,85.75999999999999,0.9635955056179775
3,goaline,medium,149,195.12000000000006,1.3095302013422823
3,goaline,short,166,229.95999999999998,1.385301204819277
3,midfield,long,900,262.44,0.29159999999999997
3,midfield,medium,800,210.03999999999994,0.2625499999999999
3,midfield,really_long,583,183.23999999999998,0.3143053173241852
3,midfield,short,638,185.8,0.2912225705329154
3,redzone,long,166,74.60000000000001,0.44939759036144583
3,redzone,medium,142,73.79999999999998,0.5197183098591548
3,redzone,really_long,94,29.000000000000004,0.3085106382978724
3,redzone,short,82,40.84,0.49804878048780493
3,touchback,long,416,86.92000000000002,0.20894230769230773
3,touchback,medium,243,44.68,0.18386831275720164
3,touchback,really_long,184,50.56000000000001,0.27478260869565224
3,touchback,short,111,31.119999999999997,0.28036036036036033
4,crap,long,1,0.0,0.0
4,crap,really_long,6,-4.64,-0.7733333333333333
4,crap,short,1,0.0,0.0
4,fg,long,8,-0.56,-0.07
4,fg,medium,11,5.92,0.5381818181818182
4,fg,really_long,3,0.8,0.26666666666666666
4,fg,short,22,19.72,0.8963636363636364
4,goaline,long,4,8.68,2.17
4,goaline,medium,4,8.52,2.13
4,goaline,short,39,49.559999999999995,1.2707692307692307
4,midfield,long,31,-0.1200000000000001,-0.0038709677419354873
4,midfield,medium,52,10.600000000000001,0.20384615384615387
4,midfield,really_long,21,-0.7200000000000002,-0.034285714285714294
4,midfield,short,101,23.599999999999998,0.23366336633663365
4,redzone,long,4,0.44,0.11
4,redzone,medium,10,4.24,0.42400000000000004
4,redzone,really_long,5,5.08,1.016
4,redzone,short,16,6.96,0.435
4,touchback,long,10,-4.5600000000000005,-0.45600000000000007
4,touchback,medium,1,0.0,0.0
4,touchback,really_long,6,-1.52,-0.25333333333333335
4,touchback,short,4,0.0,0.0
