,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,38,0.494531115484,0.218947368421
1,crap,really_long,2,1.69705627485,-0.8
1,fg,long,35,0.943753279253,0.363428571429
1,fg,really_long,1,,0.0
1,goaline,long,10,2.00082205328,0.74
1,goaline,medium,7,1.56285453121,0.668571428571
1,goaline,short,15,2.29203839409,1.776
1,midfield,long,208,0.796445093101,0.306923076923
1,midfield,medium,1,,0.0
1,midfield,really_long,8,0.802976605245,-0.085
1,redzone,long,34,1.34804010371,0.48
1,redzone,really_long,3,0.28,0.2
1,touchback,long,93,0.393307738409,0.291182795699
1,touchback,really_long,2,0.22627416998,1.4
2,crap,long,18,0.261718803348,0.235555555556
2,crap,medium,4,0.27006172134,0.35
2,crap,really_long,10,0.401972912299,0.196
2,crap,short,1,,1.64
2,fg,long,15,1.21866124829,0.570666666667
2,fg,medium,10,0.191786918798,0.244
2,fg,really_long,10,0.194319324824,0.144
2,fg,short,1,,0.16
2,goaline,long,8,2.3527734394,2.16
2,goaline,medium,10,2.17362370248,2.148
2,goaline,short,15,2.14182120991,1.86133333333
2,midfield,long,113,0.459005410785,0.230796460177
2,midfield,medium,42,0.597338269434,0.373333333333
2,midfield,really_long,34,0.292304141657,0.216470588235
2,midfield,short,20,0.583723077819,0.148
2,redzone,long,18,1.80742983664,0.724444444444
2,redzone,medium,10,2.15487457743,1.512
2,redzone,really_long,8,0.129614813968,0.07
2,redzone,short,3,3.36222148785,0.853333333333
2,touchback,long,45,0.504409645932,0.0826666666667
2,touchback,medium,8,0.31418829659,0.265
2,touchback,really_long,14,0.265528707498,0.171428571429
2,touchback,short,3,0.0,0.0
3,crap,long,11,0.31026088729,0.207272727273
3,crap,medium,8,0.384521966677,0.195
3,crap,really_long,12,0.294186088294,0.22
3,crap,short,2,0.254558441227,0.38
3,fg,long,7,0.865596408759,-0.0971428571429
3,fg,medium,5,0.177538728169,0.192
3,fg,really_long,3,0.341760149813,0.48
3,fg,short,8,1.70879238896,0.805
3,goaline,long,7,1.63376282011,0.708571428571
3,goaline,medium,5,1.86169814954,0.872
3,goaline,short,10,2.01897223579,1.276
3,midfield,long,54,0.50694298986,0.108888888889
3,midfield,medium,48,0.446286490055,0.233333333333
3,midfield,really_long,36,1.08010581492,0.453333333333
3,midfield,short,28,0.358657107325,0.248571428571
3,redzone,long,13,1.21088228059,0.452307692308
3,redzone,medium,9,0.716937933157,-0.12
3,redzone,really_long,8,0.141421356237,0.05
3,redzone,short,5,0.134461890512,0.096
3,touchback,long,28,1.33774112696,0.404285714286
3,touchback,medium,14,0.247501803745,0.194285714286
3,touchback,really_long,11,0.7049745321,-0.0290909090909
3,touchback,short,9,0.782503106135,0.391111111111
4,fg,long,1,,0.0
4,fg,short,1,,1.0
4,goaline,medium,1,,4.16
4,goaline,short,2,0.0,0.0
4,midfield,long,3,1.15470053838,-0.666666666667
4,midfield,medium,5,0.547430360868,0.544
4,midfield,short,5,0.10733126292,0.048
4,redzone,really_long,1,,0.52
4,redzone,short,2,0.0848528137424,0.06
4,touchback,medium,1,,0.0
4,touchback,really_long,1,,0.0
4,touchback,short,1,,0.0
